Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),56,Belgium,5142,Food,S2513,Barley,2021,2021,1000 t,20,I,Imputed value
FBS,Food Balances (2010-),56,Belgium,5142,Food,S2514,Maize,2021,2021,1000 t,14,I,Imputed value
FBS,Food Balances (2010-),56,Belgium,5142,Food,S2515,Rye,2021,2021,1000 t,16,I,Imputed value
FBS,Food Balances (2010-),56,Belgium,5142,Food,S2516,Oats,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),56,Belgium,5142,Food,S2520,Cereals,2021,2021,1000 t,38,I,Imputed value
FBS,Food Balances (2010-),56,Belgium,5142,Food,S2531,Potatoes,2021,2021,1000 t,1066,I,Imputed value
FBS,Food Balances (2010-),56,Belgium,5142,Food,S2535,Yams,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),84,Belize,5142,Food,S2511,Wheat,2021,2021,1000 t,36,I,Imputed value
FBS,Food Balances (2010-),84,Belize,5142,Food,S2807,Rice,2021,2021,1000 t,13,I,Imputed value
FBS,Food Balances (2010-),84,Belize,5142,Food,S2513,Barley,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),84,Belize,5142,Food,S2514,Maize,2021,2021,1000 t,10,I,Imputed value
FBS,Food Balances (2010-),84,Belize,5142,Food,S2515,Rye,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),84,Belize,5142,Food,S2516,Oats,2021,2021,1000 t,3,I,Imputed value
FBS,Food Balances (2010-),84,Belize,5142,Food,S2518,Sorghum,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),84,Belize,5142,Food,S2520,Cereals,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),84,Belize,5142,Food,S2532,Cassava,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),84,Belize,5142,Food,S2531,Potatoes,2021,2021,1000 t,12,I,Imputed value
FBS,Food Balances (2010-),84,Belize,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),84,Belize,5142,Food,S2535,Yams,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),204,Benin,5142,Food,S2511,Wheat,2021,2021,1000 t,244,I,Imputed value
FBS,Food Balances (2010-),204,Benin,5142,Food,S2807,Rice,2021,2021,1000 t,1104,I,Imputed value
FBS,Food Balances (2010-),204,Benin,5142,Food,S2513,Barley,2021,2021,1000 t,18,I,Imputed value
FBS,Food Balances (2010-),204,Benin,5142,Food,S2514,Maize,2021,2021,1000 t,468,I,Imputed value
FBS,Food Balances (2010-),204,Benin,5142,Food,S2516,Oats,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),204,Benin,5142,Food,S2517,Millet,2021,2021,1000 t,15,I,Imputed value
FBS,Food Balances (2010-),204,Benin,5142,Food,S2518,Sorghum,2021,2021,1000 t,82,I,Imputed value
FBS,Food Balances (2010-),204,Benin,5142,Food,S2520,Cereals,2021,2021,1000 t,4,I,Imputed value
FBS,Food Balances (2010-),204,Benin,5142,Food,S2532,Cassava,2021,2021,1000 t,1420,I,Imputed value
FBS,Food Balances (2010-),204,Benin,5142,Food,S2531,Potatoes,2021,2021,1000 t,6,I,Imputed value
FBS,Food Balances (2010-),204,Benin,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,44,I,Imputed value
FBS,Food Balances (2010-),204,Benin,5142,Food,S2535,Yams,2021,2021,1000 t,1923,I,Imputed value
FBS,Food Balances (2010-),64,Bhutan,5142,Food,S2511,Wheat,2021,2021,1000 t,18,I,Imputed value
FBS,Food Balances (2010-),64,Bhutan,5142,Food,S2807,Rice,2021,2021,1000 t,135,I,Imputed value
FBS,Food Balances (2010-),64,Bhutan,5142,Food,S2513,Barley,2021,2021,1000 t,7,I,Imputed value
FBS,Food Balances (2010-),64,Bhutan,5142,Food,S2514,Maize,2021,2021,1000 t,35,I,Imputed value
FBS,Food Balances (2010-),64,Bhutan,5142,Food,S2515,Rye,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),64,Bhutan,5142,Food,S2516,Oats,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),64,Bhutan,5142,Food,S2517,Millet,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),64,Bhutan,5142,Food,S2520,Cereals,2021,2021,1000 t,2,I,Imputed value
FBS,Food Balances (2010-),64,Bhutan,5142,Food,S2532,Cassava,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),64,Bhutan,5142,Food,S2531,Potatoes,2021,2021,1000 t,18,I,Imputed value
FBS,Food Balances (2010-),64,Bhutan,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),68,Bolivia (Plurinational State of),5142,Food,S2511,Wheat,2021,2021,1000 t,633,I,Imputed value
FBS,Food Balances (2010-),68,Bolivia (Plurinational State of),5142,Food,S2807,Rice,2021,2021,1000 t,520,I,Imputed value
FBS,Food Balances (2010-),68,Bolivia (Plurinational State of),5142,Food,S2513,Barley,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),68,Bolivia (Plurinational State of),5142,Food,S2514,Maize,2021,2021,1000 t,379,I,Imputed value
FBS,Food Balances (2010-),68,Bolivia (Plurinational State of),5142,Food,S2515,Rye,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),68,Bolivia (Plurinational State of),5142,Food,S2516,Oats,2021,2021,1000 t,26,I,Imputed value
FBS,Food Balances (2010-),68,Bolivia (Plurinational State of),5142,Food,S2517,Millet,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),68,Bolivia (Plurinational State of),5142,Food,S2520,Cereals,2021,2021,1000 t,17,I,Imputed value
FBS,Food Balances (2010-),68,Bolivia (Plurinational State of),5142,Food,S2532,Cassava,2021,2021,1000 t,146,I,Imputed value
